stdio    D         file_stdio.c:109  file_stdio_fopen                 [   0.00000] opening D:\Documents\Mini2\game\allegro5.cfg r
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04224] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04225] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04226] added dtor for sample_instance 00CE86B8, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04227] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04228] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04229] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04230] added dtor for sample_instance 00CE87A8, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04231] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04232] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04233] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04234] added dtor for sample_instance 00CE8928, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04235] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04236] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04237] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04238] added dtor for sample_instance 00CE8A18, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04239] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04240] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04241] 
system   D            wsystem.c:771  _al_win_safe_load_library        [   0.04265] PathFindOnPath found: C:\WINDOWS\system32\d3d9.dll
system   D            wsystem.c:682  load_library_at_path             [   0.04266] Calling LoadLibrary C:\WINDOWS\system32\d3d9.dll
system   I            wsystem.c:685  load_library_at_path             [   0.04547] Loaded C:\WINDOWS\system32\d3d9.dll
d3d      I         d3d_disp.cpp:674  d3d_init_display                 [   0.08020] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1769 d3d_create_display_locked        [   0.08141] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1770 d3d_create_display_locked        [   0.08143] al_display=00CEA008
d3d      D         d3d_disp.cpp:1771 d3d_create_display_locked        [   0.08144] al_display->vt=00CE9F50
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.08407] found 288 format combinations
display  D   display_settings.c:212  debug_display_settings           [   0.08409] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08410] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.08411] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08412] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.08413] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08414] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.08415] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08416] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.08417] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08418] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.08420] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08421] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.08422] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08423] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.08424] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08425] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.08426] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08427] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.08427] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08429] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.08429] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08430] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.08431] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08432] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.08433] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08434] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.08435] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08436] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.08437] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08438] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.08439] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08440] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.08441] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08442] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.08443] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08444] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.08445] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08446] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.08447] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08448] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.08449] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08450] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.08451] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08452] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.08453] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08454] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.08455] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08456] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.08457] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08458] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.08459] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08460] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.08461] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08462] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.08463] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08464] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.08465] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08466] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.08467] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08468] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.08469] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08470] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.08470] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08472] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.08472] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08473] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.08474] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08475] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.08476] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08477] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.08478] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08479] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.08480] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08481] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.08482] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08488] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.08489] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08490] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.08491] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08492] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.08493] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08494] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.08495] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08496] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.08497] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08498] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.08499] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08500] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.08501] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08502] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.08503] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08504] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.08505] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08506] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.08507] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08508] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.08509] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08510] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.08511] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08512] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.08513] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08514] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.08515] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08516] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.08517] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08518] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.08519] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08520] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.08521] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08522] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.08523] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08524] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.08525] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08526] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.08527] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08528] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.08529] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08530] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.08531] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08532] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.08532] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08533] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.08534] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08535] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.08536] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08537] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.08538] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08539] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.08540] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08541] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.08542] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08543] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.08544] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08545] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.08546] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08547] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.08548] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08549] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.08550] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08551] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.08552] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08553] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.08554] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08555] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.08556] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.08557] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08558] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.08559] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08560] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08561] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08562] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08563] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08564] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08565] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08566] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08567] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08568] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08569] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08570] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08571] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08572] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08573] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08574] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.08575] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08576] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.08577] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08578] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08579] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08580] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08581] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08582] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08583] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08584] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08585] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08586] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08587] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08588] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08589] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08590] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08591] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08592] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.08593] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08595] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.08596] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08598] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08599] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08600] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08601] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08602] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08603] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08604] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08605] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08606] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08607] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08608] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08609] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08610] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.08611] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08612] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.08613] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08617] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.08618] Single Buffer requirement not met.
